epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,728.855,1.1242,4.26552,1.44502,0.39131,0.09932,0.0619,0.04013,1.27561,4.11304,1.58552,0.00333155,0.00333155,0.00333155
2,1470.75,1.20044,3.50548,1.4841,0.3173,0.14844,0.08255,0.05178,1.35999,3.88462,1.65474,0.00655491,0.00655491,0.00655491
3,2212.43,1.26231,3.39981,1.52052,0.35,0.14199,0.08549,0.05421,1.39196,3.7528,1.67724,0.00966828,0.00966828,0.00966828
4,2948.6,1.28337,3.24302,1.53311,0.3101,0.19296,0.12383,0.07989,1.35608,3.18791,1.59765,0.009505,0.009505,0.009505
5,3686.34,1.24916,2.97086,1.49748,0.34317,0.20907,0.15706,0.10352,1.31564,2.85284,1.57711,0.00934,0.00934,0.00934
6,4422.39,1.22854,2.81353,1.48366,0.37784,0.24114,0.19066,0.12662,1.27922,2.70907,1.54397,0.009175,0.009175,0.009175
7,5169.31,1.2103,2.71275,1.46155,0.43269,0.25227,0.21812,0.14616,1.26527,2.5386,1.50929,0.00901,0.00901,0.00901
8,5928.93,1.19442,2.62647,1.45568,0.4305,0.27115,0.24121,0.16377,1.24239,2.43564,1.50755,0.008845,0.008845,0.008845
9,6670.51,1.17616,2.5598,1.44166,0.38873,0.29174,0.25401,0.17306,1.23289,2.35928,1.48985,0.00868,0.00868,0.00868
10,7415.25,1.16628,2.49347,1.43106,0.39761,0.306,0.27112,0.18599,1.21185,2.28617,1.46659,0.008515,0.008515,0.008515
11,8151.38,1.16024,2.43771,1.42076,0.45475,0.31442,0.29157,0.20085,1.19673,2.2137,1.45376,0.00835,0.00835,0.00835
12,8888.02,1.14688,2.39357,1.41433,0.44879,0.32816,0.30996,0.21357,1.19303,2.17203,1.44203,0.008185,0.008185,0.008185
13,9629.71,1.1454,2.3562,1.41109,0.45745,0.33303,0.316,0.21955,1.1865,2.12898,1.4451,0.00802,0.00802,0.00802
14,10370.8,1.13137,2.30986,1.40373,0.48448,0.35817,0.34745,0.24254,1.1722,2.05969,1.42311,0.007855,0.007855,0.007855
15,736.354,1.12726,2.26502,1.39688,0.47557,0.37041,0.35805,0.25252,1.16441,2.02387,1.4135,0.00769,0.00769,0.00769
16,1496.19,1.12637,2.25016,1.39654,0.46555,0.38403,0.36988,0.26106,1.15645,1.97053,1.40313,0.007525,0.007525,0.007525
17,2257.43,1.12373,2.22319,1.39208,0.48477,0.38593,0.38597,0.271,1.15334,1.93395,1.39927,0.00736,0.00736,0.00736
18,3018.13,1.11013,2.19025,1.3861,0.4729,0.39691,0.39577,0.27898,1.14531,1.90314,1.3948,0.007195,0.007195,0.007195
19,3777.06,1.10117,2.14717,1.3781,0.52026,0.3981,0.40876,0.29006,1.13602,1.87306,1.38946,0.00703,0.00703,0.00703
20,4537.7,1.09956,2.11183,1.3777,0.51452,0.40792,0.41847,0.29681,1.13192,1.84163,1.38295,0.006865,0.006865,0.006865
21,5299.42,1.09583,2.08226,1.37097,0.51914,0.40964,0.42293,0.30126,1.12871,1.82742,1.38062,0.0067,0.0067,0.0067
22,6059.01,1.09234,2.05426,1.36908,0.50336,0.42224,0.42522,0.30351,1.12627,1.80261,1.37791,0.006535,0.006535,0.006535
23,6818.59,1.08283,2.0322,1.36387,0.51833,0.42285,0.43013,0.30773,1.12367,1.78704,1.37307,0.00637,0.00637,0.00637
24,7576.73,1.07798,2.00808,1.35927,0.53103,0.42059,0.4372,0.31413,1.11947,1.77398,1.36919,0.006205,0.006205,0.006205
25,8337.31,1.07837,1.97958,1.3552,0.52554,0.4329,0.44398,0.31925,1.11448,1.75963,1.3672,0.00604,0.00604,0.00604
26,9098.1,1.0695,1.96648,1.35304,0.52854,0.4398,0.4504,0.32456,1.11167,1.74516,1.36491,0.005875,0.005875,0.005875
27,9857.34,1.0709,1.94009,1.34994,0.5374,0.4413,0.45318,0.32652,1.10922,1.73552,1.36217,0.00571,0.00571,0.00571
28,10618.2,1.06041,1.92429,1.34535,0.52821,0.44294,0.45685,0.32948,1.10667,1.72534,1.35944,0.005545,0.005545,0.005545
29,11382.5,1.06297,1.92576,1.3479,0.52553,0.44895,0.46039,0.33206,1.10543,1.71459,1.35812,0.00538,0.00538,0.00538
30,12145.6,1.06165,1.89483,1.3462,0.52298,0.45035,0.46191,0.33259,1.10269,1.7041,1.35589,0.005215,0.005215,0.005215
31,12907.8,1.06292,1.88989,1.34394,0.52721,0.45196,0.46475,0.33482,1.10088,1.69432,1.35496,0.00505,0.00505,0.00505
32,13669.4,1.05582,1.86548,1.34292,0.5291,0.45512,0.46657,0.33609,1.09909,1.68741,1.3536,0.004885,0.004885,0.004885
33,14428.1,1.05313,1.84728,1.33457,0.52485,0.46205,0.46868,0.33802,1.09684,1.68002,1.3516,0.00472,0.00472,0.00472
34,15187,1.04839,1.82682,1.33767,0.5275,0.46068,0.47083,0.3402,1.09483,1.67228,1.34969,0.004555,0.004555,0.004555
35,15946.4,1.03717,1.82314,1.33352,0.52941,0.46515,0.47396,0.34325,1.09325,1.66672,1.3486,0.00439,0.00439,0.00439
36,16704.3,1.03655,1.78817,1.32581,0.53801,0.4627,0.47636,0.34467,1.09142,1.6617,1.34708,0.004225,0.004225,0.004225
37,17463,1.03571,1.77408,1.32522,0.54383,0.46228,0.47936,0.34676,1.08962,1.65639,1.34568,0.00406,0.00406,0.00406
38,18226.6,1.02902,1.75214,1.32456,0.54671,0.46149,0.48063,0.34815,1.0884,1.65162,1.34499,0.003895,0.003895,0.003895
39,18984.6,1.03563,1.74666,1.32225,0.5444,0.46497,0.4826,0.35029,1.08735,1.64696,1.34396,0.00373,0.00373,0.00373
40,19748.9,1.02601,1.7322,1.32055,0.54025,0.46927,0.48432,0.35177,1.08634,1.64229,1.34299,0.003565,0.003565,0.003565
41,20508.4,1.02494,1.71421,1.31713,0.53864,0.4741,0.48612,0.35348,1.08522,1.63775,1.34202,0.0034,0.0034,0.0034
