epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.782,1.49349,4.307,1.78069,0.47076,0.15399,0.07299,0.04101,1.47643,4.07475,1.84167,7.30864e-05,7.30864e-05,7.30864e-05
2,660.33,1.32924,3.40154,1.65931,0.66532,0.15608,0.14328,0.08467,1.46742,3.51487,1.79585,0.00014563,0.00014563,0.00014563
3,1008.64,1.36715,3.083,1.65693,0.56034,0.15449,0.13773,0.08724,1.51207,3.47139,1.86903,0.000216709,0.000216709,0.000216709
4,1257.88,1.32694,2.80468,1.62259,0.46995,0.2169,0.1904,0.10451,1.53264,3.01652,1.86699,0.000215407,0.000215407,0.000215407
5,1586.62,1.3211,2.62632,1.61503,0.55419,0.19938,0.19901,0.11673,1.55011,2.97141,1.85651,0.000213209,0.000213209,0.000213209
6,1923.42,1.28773,2.4533,1.57773,0.45868,0.22884,0.206,0.11338,1.54601,2.82996,1.91289,0.000211011,0.000211011,0.000211011
7,2270.16,1.2971,2.33353,1.58551,0.50028,0.23584,0.23025,0.13234,1.53504,2.59783,1.90954,0.000208813,0.000208813,0.000208813
8,2797.8,1.24764,2.17663,1.54501,0.44441,0.25254,0.20784,0.12144,1.5474,2.61977,1.86946,0.000206615,0.000206615,0.000206615
9,3105.11,1.25517,2.18312,1.57008,0.47271,0.26676,0.26231,0.14748,1.51298,2.41215,1.8415,0.000204418,0.000204418,0.000204418
10,3393.87,1.19413,2.05222,1.519,0.52741,0.28452,0.29316,0.1689,1.49467,2.44189,1.85356,0.00020222,0.00020222,0.00020222
11,3666.59,1.17911,1.96801,1.50665,0.53709,0.26401,0.27857,0.15108,1.55811,2.45951,1.88577,0.000200022,0.000200022,0.000200022
12,3944.18,1.1802,1.91658,1.48476,0.48522,0.28295,0.28865,0.16659,1.4915,2.31732,1.8188,0.000197824,0.000197824,0.000197824
13,4227.49,1.1534,1.81819,1.48086,0.40011,0.33008,0.3019,0.17748,1.48707,2.32801,1.8408,0.000195626,0.000195626,0.000195626
14,4511.49,1.13289,1.78332,1.44332,0.53132,0.2513,0.27905,0.17067,1.49085,2.40847,1.85771,0.000193429,0.000193429,0.000193429
15,4976.06,1.12996,1.7082,1.4515,0.46135,0.28785,0.30726,0.19009,1.5101,2.23347,1.84181,0.000191231,0.000191231,0.000191231
16,5419.82,1.09231,1.66045,1.42298,0.5153,0.28117,0.2868,0.17298,1.45933,2.20917,1.8051,0.000189033,0.000189033,0.000189033
17,5767.99,1.09763,1.68251,1.42108,0.55487,0.27789,0.33185,0.20812,1.47757,2.14692,1.80957,0.000186835,0.000186835,0.000186835
18,6032.91,1.07854,1.55969,1.41658,0.52511,0.29516,0.29769,0.18332,1.49547,2.18712,1.82648,0.000184637,0.000184637,0.000184637
19,6311.1,1.05928,1.49815,1.39992,0.47925,0.32595,0.30104,0.18574,1.4812,2.22394,1.8487,0.00018244,0.00018244,0.00018244
20,6643.12,1.03799,1.45751,1.381,0.4103,0.3276,0.33101,0.20498,1.45709,2.15488,1.79142,0.000180242,0.000180242,0.000180242
21,6913.33,1.04421,1.47191,1.39369,0.56134,0.30563,0.32588,0.20283,1.451,2.09693,1.81161,0.000178044,0.000178044,0.000178044
22,7250.03,1.03816,1.41098,1.38982,0.50755,0.3134,0.32311,0.19842,1.46707,2.07789,1.80432,0.000175846,0.000175846,0.000175846
23,7599.84,1.00009,1.396,1.37241,0.53584,0.35166,0.34345,0.20939,1.48945,2.04448,1.8318,0.000173648,0.000173648,0.000173648
