epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1769.6,0.88005,3.35376,1.27752,0.55623,0.16841,0.12356,0.0966,0.74001,2.72098,1.16256,0.00333253,0.00333253,0.00333253
2,3558.95,0.86874,2.47246,1.25505,0.5297,0.20648,0.19244,0.15329,0.71509,2.26536,1.15049,0.00653388,0.00653388,0.00653388
3,5366.75,0.90739,2.37314,1.27954,0.43894,0.23984,0.2151,0.17166,0.70509,1.99537,1.14636,0.00960323,0.00960323,0.00960323
4,7148.97,0.90334,2.2004,1.27823,0.4277,0.27504,0.25652,0.20973,0.64925,1.70256,1.10151,0.009406,0.009406,0.009406
5,8899.8,0.8564,2.0229,1.25041,0.44839,0.3085,0.28715,0.23892,0.61185,1.56908,1.07241,0.009208,0.009208,0.009208
6,10626.8,0.82607,1.93804,1.23263,0.42847,0.32163,0.30309,0.25441,0.58745,1.50354,1.05331,0.00901,0.00901,0.00901
7,12304.7,0.80809,1.87414,1.22054,0.43426,0.34932,0.32387,0.274,0.56781,1.4344,1.03757,0.008812,0.008812,0.008812
8,14057.1,0.79409,1.83039,1.21077,0.47783,0.34442,0.3356,0.28568,0.55662,1.39405,1.02716,0.008614,0.008614,0.008614
9,15861.5,0.78104,1.78971,1.20229,0.46717,0.3793,0.34769,0.29717,0.54454,1.36006,1.01917,0.008416,0.008416,0.008416
10,17611.7,0.7733,1.76267,1.19637,0.48672,0.37479,0.35464,0.30381,0.53648,1.34324,1.01215,0.008218,0.008218,0.008218
11,19388.3,0.76383,1.73671,1.19095,0.48864,0.38061,0.36013,0.30966,0.52971,1.32652,1.00685,0.00802,0.00802,0.00802
12,21053.7,0.75726,1.71605,1.18582,0.49155,0.37568,0.36349,0.31323,0.5245,1.31284,1.00234,0.007822,0.007822,0.007822
13,22716.6,0.75024,1.69486,1.17963,0.49152,0.37697,0.36629,0.31633,0.52099,1.30053,0.9993,0.007624,0.007624,0.007624
14,1662.22,0.7496,1.72762,1.181,0.48399,0.38809,0.36751,0.31776,0.51901,1.29706,0.99764,0.007426,0.007426,0.007426
15,3360.99,0.75182,1.71889,1.18178,0.48653,0.38837,0.36931,0.31972,0.51736,1.29311,0.99634,0.007228,0.007228,0.007228
16,5056.74,0.74332,1.69974,1.17678,0.4923,0.39055,0.37099,0.32133,0.51594,1.28917,0.99523,0.00703,0.00703,0.00703
17,6753.25,0.74117,1.69512,1.17549,0.49177,0.39249,0.372,0.32259,0.51456,1.28445,0.99446,0.006832,0.006832,0.006832
18,8450.25,0.73558,1.67348,1.17269,0.49318,0.3879,0.37346,0.32419,0.51331,1.28066,0.99357,0.006634,0.006634,0.006634
19,10162.2,0.72939,1.66375,1.1664,0.49563,0.38569,0.37541,0.32578,0.51173,1.27619,0.99238,0.006436,0.006436,0.006436
20,11862.4,0.72843,1.65269,1.1672,0.48199,0.38692,0.37697,0.32754,0.51044,1.27182,0.99138,0.006238,0.006238,0.006238
21,13519.2,0.72408,1.63758,1.16362,0.47068,0.38941,0.37915,0.32952,0.5091,1.2678,0.99014,0.00604,0.00604,0.00604
22,15150.3,0.71959,1.62668,1.16029,0.46073,0.39122,0.38097,0.33109,0.50799,1.2639,0.98924,0.005842,0.005842,0.005842
23,16782.5,0.71806,1.61217,1.15875,0.46162,0.39544,0.38243,0.33283,0.50649,1.25953,0.98791,0.005644,0.005644,0.005644
24,18408.7,0.71254,1.60018,1.15602,0.47351,0.3999,0.39182,0.34214,0.50513,1.25451,0.98662,0.005446,0.005446,0.005446
25,20035.8,0.70836,1.59326,1.15147,0.48439,0.40264,0.3934,0.3438,0.50381,1.24951,0.98543,0.005248,0.005248,0.005248
26,21660.9,0.70512,1.58287,1.14925,0.48766,0.40419,0.39527,0.34558,0.50231,1.24529,0.98404,0.00505,0.00505,0.00505
27,23295,0.70183,1.57348,1.14742,0.48733,0.40662,0.39678,0.34698,0.50096,1.24069,0.98284,0.004852,0.004852,0.004852
28,24924.7,0.69995,1.56556,1.14716,0.50008,0.40922,0.39889,0.34902,0.49966,1.23605,0.98162,0.004654,0.004654,0.004654
29,26550.4,0.6957,1.55314,1.14321,0.49842,0.41263,0.39637,0.34663,0.49835,1.23151,0.98029,0.004456,0.004456,0.004456
30,28173.7,0.6937,1.54804,1.14319,0.49935,0.41247,0.39773,0.34803,0.49699,1.22707,0.97904,0.004258,0.004258,0.004258
31,29835.8,0.68951,1.53689,1.14043,0.48546,0.41733,0.39788,0.34797,0.49564,1.22225,0.97768,0.00406,0.00406,0.00406
32,31535.6,0.68523,1.52803,1.1362,0.48627,0.41731,0.39943,0.34971,0.49454,1.2174,0.97662,0.003862,0.003862,0.003862
33,33246.2,0.68305,1.51809,1.13484,0.4848,0.41875,0.40056,0.35074,0.49339,1.21284,0.97554,0.003664,0.003664,0.003664
34,34948.3,0.67844,1.50747,1.13296,0.48479,0.42084,0.40184,0.35202,0.49222,1.2083,0.97443,0.003466,0.003466,0.003466
35,36644.2,0.67445,1.49626,1.12943,0.48657,0.42197,0.4031,0.3534,0.49119,1.2034,0.97344,0.003268,0.003268,0.003268
36,38329.4,0.67133,1.48472,1.12594,0.48121,0.42898,0.4039,0.35431,0.49022,1.1987,0.97243,0.00307,0.00307,0.00307
37,40023.4,0.66895,1.47918,1.12544,0.49232,0.43254,0.40542,0.35602,0.48915,1.19427,0.97135,0.002872,0.002872,0.002872
38,41731.2,0.66467,1.46727,1.12318,0.49554,0.43063,0.40732,0.35777,0.48805,1.19007,0.97031,0.002674,0.002674,0.002674
39,43409.2,0.65862,1.45278,1.11922,0.50045,0.4295,0.40832,0.35869,0.48707,1.18616,0.96945,0.002476,0.002476,0.002476
40,45109.2,0.6566,1.44078,1.11848,0.4974,0.43164,0.40966,0.36023,0.48602,1.18226,0.96856,0.002278,0.002278,0.002278
41,46770.8,0.57452,1.31811,1.06431,0.50202,0.42941,0.41118,0.36172,0.48476,1.17787,0.96746,0.00208,0.00208,0.00208
42,48429.7,0.56517,1.2897,1.05746,0.50686,0.42713,0.4127,0.36349,0.48346,1.17334,0.96619,0.001882,0.001882,0.001882
43,50072.6,0.55878,1.2711,1.0506,0.50972,0.42649,0.41366,0.36461,0.48218,1.1693,0.96491,0.001684,0.001684,0.001684
44,51737.4,0.55256,1.25197,1.0472,0.51446,0.4257,0.41564,0.36642,0.48084,1.16577,0.96345,0.001486,0.001486,0.001486
45,53406.5,0.54717,1.23171,1.04279,0.51615,0.4243,0.41629,0.36735,0.47966,1.16255,0.96216,0.001288,0.001288,0.001288
46,55079.6,0.54119,1.21798,1.03778,0.51536,0.42533,0.41778,0.36903,0.47858,1.15977,0.96096,0.00109,0.00109,0.00109
47,56738.7,0.53557,1.19959,1.03513,0.51213,0.42692,0.41924,0.37058,0.47762,1.15721,0.95981,0.000892,0.000892,0.000892
48,58426.3,0.53148,1.18321,1.03127,0.50878,0.43432,0.4198,0.37132,0.47674,1.1548,0.95879,0.000694,0.000694,0.000694
49,60110.4,0.52575,1.17017,1.02787,0.51316,0.43266,0.42139,0.37298,0.47585,1.15251,0.95768,0.000496,0.000496,0.000496
50,61781.6,0.52238,1.1538,1.02562,0.51469,0.4315,0.42364,0.37518,0.47503,1.14996,0.95663,0.000298,0.000298,0.000298
